Adult Stages/Adult Hypnogram (973 events)						
						
-------------------------------------------------------------------------------------						
#	Segment	Epoch	Start Time (s)	Duration (s)	Interval (s)	Event
"220, "	"1, "	"220, "	"6585.000,"	"1.000,"	"30.000,"	0
"221, "	"1, "	"221, "	"6615.000,"	"1.000,"	"30.000,"	0
"222, "	"1, "	"222, "	"6645.000,"	"1.000,"	"30.000,"	0
"223, "	"1, "	"223, "	"6675.000,"	"1.000,"	"30.000,"	0
"224, "	"1, "	"224, "	"6705.000,"	"1.000,"	"30.000,"	0
"225, "	"1, "	"225, "	"6735.000,"	"1.000,"	"30.000,"	1
"226, "	"1, "	"226, "	"6765.000,"	"1.000,"	"30.000,"	1
"227, "	"1, "	"227, "	"6795.000,"	"1.000,"	"30.000,"	1
"228, "	"1, "	"228, "	"6825.000,"	"1.000,"	"30.000,"	1
"229, "	"1, "	"229, "	"6855.000,"	"1.000,"	"30.000,"	1
"230, "	"1, "	"230, "	"6885.000,"	"1.000,"	"30.000,"	2
"231, "	"1, "	"231, "	"6915.000,"	"1.000,"	"30.000,"	2
"232, "	"1, "	"232, "	"6945.000,"	"1.000,"	"30.000,"	2
"233, "	"1, "	"233, "	"6975.000,"	"1.000,"	"30.000,"	2
"234, "	"1, "	"234, "	"7005.000,"	"1.000,"	"30.000,"	2
"235, "	"1, "	"235, "	"7035.000,"	"1.000,"	"30.000,"	2
"236, "	"1, "	"236, "	"7065.000,"	"1.000,"	"30.000,"	2
"237, "	"1, "	"237, "	"7095.000,"	"1.000,"	"30.000,"	1
"238, "	"1, "	"238, "	"7125.000,"	"1.000,"	"30.000,"	2
"239, "	"1, "	"239, "	"7155.000,"	"1.000,"	"30.000,"	2
"240, "	"1, "	"240, "	"7185.000,"	"1.000,"	"30.000,"	2
"241, "	"1, "	"241, "	"7215.000,"	"1.000,"	"30.000,"	2
"242, "	"1, "	"242, "	"7245.000,"	"1.000,"	"30.000,"	2
"243, "	"1, "	"243, "	"7275.000,"	"1.000,"	"30.000,"	2
"244, "	"1, "	"244, "	"7305.000,"	"1.000,"	"30.000,"	2
"245, "	"1, "	"245, "	"7335.000,"	"1.000,"	"30.000,"	2
"246, "	"1, "	"246, "	"7365.000,"	"1.000,"	"30.000,"	2
"247, "	"1, "	"247, "	"7395.000,"	"1.000,"	"30.000,"	1
"248, "	"1, "	"248, "	"7425.000,"	"1.000,"	"30.000,"	1
"249, "	"1, "	"249, "	"7455.000,"	"1.000,"	"30.000,"	2
"250, "	"1, "	"250, "	"7485.000,"	"1.000,"	"30.000,"	2
"251, "	"1, "	"251, "	"7515.000,"	"1.000,"	"30.000,"	2
"252, "	"1, "	"252, "	"7545.000,"	"1.000,"	"30.000,"	2
"253, "	"1, "	"253, "	"7575.000,"	"1.000,"	"30.000,"	2
"254, "	"1, "	"254, "	"7605.000,"	"1.000,"	"30.000,"	1
"255, "	"1, "	"255, "	"7635.000,"	"1.000,"	"30.000,"	1
"256, "	"1, "	"256, "	"7665.000,"	"1.000,"	"30.000,"	2
"257, "	"1, "	"257, "	"7695.000,"	"1.000,"	"30.000,"	2
"258, "	"1, "	"258, "	"7725.000,"	"1.000,"	"30.000,"	0
"259, "	"1, "	"259, "	"7755.000,"	"1.000,"	"30.000,"	0
"260, "	"1, "	"260, "	"7785.000,"	"1.000,"	"30.000,"	0
"261, "	"1, "	"261, "	"7815.000,"	"1.000,"	"30.000,"	0
"262, "	"1, "	"262, "	"7845.000,"	"1.000,"	"30.000,"	1
"263, "	"1, "	"263, "	"7875.000,"	"1.000,"	"30.000,"	1
"264, "	"1, "	"264, "	"7905.000,"	"1.000,"	"30.000,"	2
"265, "	"1, "	"265, "	"7935.000,"	"1.000,"	"30.000,"	2
"266, "	"1, "	"266, "	"7965.000,"	"1.000,"	"30.000,"	0
"267, "	"1, "	"267, "	"7995.000,"	"1.000,"	"30.000,"	0
"268, "	"1, "	"268, "	"8025.000,"	"1.000,"	"30.000,"	0
"269, "	"1, "	"269, "	"8055.000,"	"1.000,"	"30.000,"	0
"270, "	"1, "	"270, "	"8085.000,"	"1.000,"	"30.000,"	0
"271, "	"1, "	"271, "	"8115.000,"	"1.000,"	"30.000,"	0
"272, "	"1, "	"272, "	"8145.000,"	"1.000,"	"30.000,"	0
"273, "	"1, "	"273, "	"8175.000,"	"1.000,"	"30.000,"	1
"274, "	"1, "	"274, "	"8205.000,"	"1.000,"	"30.000,"	1
"275, "	"1, "	"275, "	"8235.000,"	"1.000,"	"30.000,"	2
"276, "	"1, "	"276, "	"8265.000,"	"1.000,"	"30.000,"	2
"277, "	"1, "	"277, "	"8295.000,"	"1.000,"	"30.000,"	2
"278, "	"1, "	"278, "	"8325.000,"	"1.000,"	"30.000,"	2
"279, "	"1, "	"279, "	"8355.000,"	"1.000,"	"30.000,"	2
"280, "	"1, "	"280, "	"8385.000,"	"1.000,"	"30.000,"	2
"281, "	"1, "	"281, "	"8415.000,"	"1.000,"	"30.000,"	2
"282, "	"1, "	"282, "	"8445.000,"	"1.000,"	"30.000,"	2
"283, "	"1, "	"283, "	"8475.000,"	"1.000,"	"30.000,"	2
"284, "	"1, "	"284, "	"8505.000,"	"1.000,"	"30.000,"	2
"285, "	"1, "	"285, "	"8535.000,"	"1.000,"	"30.000,"	2
"286, "	"1, "	"286, "	"8565.000,"	"1.000,"	"30.000,"	2
"287, "	"1, "	"287, "	"8595.000,"	"1.000,"	"30.000,"	2
"288, "	"1, "	"288, "	"8625.000,"	"1.000,"	"30.000,"	2
"289, "	"1, "	"289, "	"8655.000,"	"1.000,"	"30.000,"	2
"290, "	"1, "	"290, "	"8685.000,"	"1.000,"	"30.000,"	2
"291, "	"1, "	"291, "	"8715.000,"	"1.000,"	"30.000,"	2
"292, "	"1, "	"292, "	"8745.000,"	"1.000,"	"30.000,"	2
"293, "	"1, "	"293, "	"8775.000,"	"1.000,"	"30.000,"	2
"294, "	"1, "	"294, "	"8805.000,"	"1.000,"	"30.000,"	1
"295, "	"1, "	"295, "	"8835.000,"	"1.000,"	"30.000,"	1
"296, "	"1, "	"296, "	"8865.000,"	"1.000,"	"30.000,"	2
"297, "	"1, "	"297, "	"8895.000,"	"1.000,"	"30.000,"	2
"298, "	"1, "	"298, "	"8925.000,"	"1.000,"	"30.000,"	2
"299, "	"1, "	"299, "	"8955.000,"	"1.000,"	"30.000,"	2
"300, "	"1, "	"300, "	"8985.000,"	"1.000,"	"30.000,"	2
"301, "	"1, "	"301, "	"9015.000,"	"1.000,"	"30.000,"	2
"302, "	"1, "	"302, "	"9045.000,"	"1.000,"	"30.000,"	2
"303, "	"1, "	"303, "	"9075.000,"	"1.000,"	"30.000,"	1
"304, "	"1, "	"304, "	"9105.000,"	"1.000,"	"30.000,"	1
"305, "	"1, "	"305, "	"9135.000,"	"1.000,"	"30.000,"	2
"306, "	"1, "	"306, "	"9165.000,"	"1.000,"	"30.000,"	2
"307, "	"1, "	"307, "	"9195.000,"	"1.000,"	"30.000,"	2
"308, "	"1, "	"308, "	"9225.000,"	"1.000,"	"30.000,"	2
"309, "	"1, "	"309, "	"9255.000,"	"1.000,"	"30.000,"	2
"310, "	"1, "	"310, "	"9285.000,"	"1.000,"	"30.000,"	2
